rank,layer,neuron,score
425,15,1371,0.22499460819141814
426,16,7924,0.2248879627649927
427,0,28,0.224821095052893
428,14,7450,0.22478871467387532
429,7,5622,0.2247196598103583
430,24,5664,0.22471671321629383
431,13,6516,0.22460843655183751
432,19,5990,0.22460336480810228
433,12,8729,0.2245822182158228
434,20,3371,0.22457642064878316
435,23,6107,0.22456324297519342
436,10,7985,0.22449759454267845
437,14,7422,0.2244816361859954
438,5,2028,0.22429637194623347
439,4,1163,0.2242538681248057
440,9,3212,0.22424906161724006
441,4,8735,0.2241553090566801
442,11,2015,0.22413067388710672
443,5,7883,0.22412600338391067
444,14,7263,0.22409437494732676
445,7,5826,0.22403732034709053
446,4,8797,0.22396512239714045
447,9,3267,0.2239182711798247
448,11,3409,0.22387833115009032
449,16,7796,0.22372786478496975
450,6,3796,0.2235164064416833
451,5,68,0.22351301416802052
452,7,2099,0.2235113214294274
453,7,589,0.22345270186668356
454,13,1297,0.22335099338871162
455,11,8524,0.22331895973199017
456,9,6263,0.22330929111622366
457,6,711,0.2233072980065405
458,14,4553,0.22325435319805714
459,7,5416,0.22317645403936962
460,9,8246,0.22317551371813382
461,13,7540,0.22317484223620876
462,18,6906,0.2231458946390589
463,25,3924,0.22307612499214152
464,12,8745,0.22307331295391036
465,7,722,0.22303743631162795
466,21,6034,0.2229354721720793
467,4,1412,0.22290500261639543
468,13,3489,0.22288226139678483
469,12,1864,0.2227203792256273
470,13,4678,0.2226782577456233
471,14,1316,0.22265204513624978
472,19,1439,0.22262444610423185
473,19,7888,0.2225824603198071
474,8,5154,0.22235530678238213
475,13,3172,0.22230825617137168
476,7,4954,0.22230754440268902
477,16,6169,0.22225562910376218
478,13,4355,0.2222458985145455
479,9,4554,0.22222955575444056
480,17,607,0.22202859940070527
481,7,2020,0.22202226170081987
482,14,570,0.22200413285566087
483,25,2116,0.22191164624211498
484,19,835,0.2218331404640176
485,12,3269,0.22179781891752184
486,21,8109,0.2217796981967479
487,23,6972,0.22173561379536438
488,9,3599,0.22171358330040497
489,15,991,0.22164448210029916
490,13,5697,0.22156733148999372
491,22,6228,0.22150887404079267
492,14,7227,0.22148806858524717
493,3,5689,0.2213841203383735
494,9,9041,0.221354752652298
495,16,4990,0.2213277886751503
496,14,5959,0.2213151313460597
497,8,6997,0.22126172927361334
498,15,7485,0.22116672233189338
499,13,7635,0.22091459041014894
500,23,8909,0.2208984002018312
501,8,7282,0.22088031291086913
502,11,2054,0.22075616299681694
503,12,4608,0.22065743913975885
504,13,3049,0.2206508037931619
505,17,745,0.22062756475079143
506,8,7912,0.22059254708292328
507,17,4696,0.2205743929721092
508,16,7985,0.22054394253716245
509,21,4747,0.22052660680580308
510,6,7919,0.2205172536476608
511,11,4637,0.22048858123457887
512,7,8995,0.22040188458669022
513,12,1167,0.2204014485906873
514,11,2473,0.22038397849317679
515,8,6783,0.22022073818219923
516,9,8239,0.22019112176315261
517,24,4367,0.2201558491471561
518,14,4017,0.220154274833112
519,14,5623,0.22012337275698177
520,16,2317,0.22009740021963514
521,2,6179,0.2200834579923406
522,9,2031,0.21999898735126777
523,5,274,0.21992060069020306
524,3,527,0.21990625625465557
525,12,7753,0.21989080453404747
526,15,4097,0.21985114131603278
527,12,6503,0.21981643997968253
528,5,7159,0.21977017964917328
529,16,4912,0.21973679838029456
530,16,3199,0.21962210843111532
531,9,6854,0.2195662772873911
532,18,4901,0.2194734235041703
533,13,6530,0.21946632232820887
534,13,7094,0.21943362790890925
535,12,533,0.21936860500201605
536,10,772,0.21929217772361553
537,6,5970,0.21924389268340136
538,18,8808,0.2192366009563964
539,15,7733,0.21921890959843354
540,11,1098,0.21917892052300764
541,5,4050,0.21916409202907697
542,8,7965,0.2191640472493293
543,12,3145,0.2190907396108847
544,18,841,0.21909056486551381
545,13,4270,0.21906465169523046
546,13,7485,0.21903396727239582
547,10,1628,0.21885918381050182
548,17,969,0.2188185945793163
549,4,969,0.2187786723392874
550,1,7205,0.21873121152264047
551,13,5049,0.2185931212787331
552,11,1120,0.21856820726401452
553,15,5110,0.21851508604348505
554,14,977,0.2184968330114453
555,17,7920,0.21835940878316765
556,8,2216,0.21834632270221305
557,22,7621,0.2183369399289362
558,9,1623,0.2183319571124128
559,12,5491,0.21829055955445686
560,13,6654,0.21828251931638457
561,19,8940,0.21809337792372077
562,15,2081,0.21807040274053727
563,9,6979,0.21805118335426793
564,8,2133,0.21802469200840582
