rank,layer,neuron,score
423,12,9100,0.568620926221311
424,7,6085,0.5679256921000191
425,7,3557,0.5676482419556685
426,13,6138,0.5673192227179458
427,10,2759,0.5672818680681867
428,12,2708,0.5667511281719143
429,14,1263,0.5662467260962678
430,10,7947,0.5661192005959892
431,12,8732,0.5658062029571019
432,8,5985,0.5656832625446249
433,11,4824,0.5650217549522266
434,13,1436,0.5641546803585811
435,5,4617,0.5632176088550543
436,12,8207,0.5627760127928207
437,12,5382,0.5625553382248071
438,11,4956,0.562053631970496
439,12,5879,0.5614039634650054
440,11,7033,0.5614004472222547
441,13,3888,0.5611343517669001
442,9,4187,0.5604483979033694
443,11,85,0.5604368975253202
444,11,1295,0.5600815793634278
445,10,7618,0.5600072868832511
446,9,6700,0.5598379397696797
447,11,8424,0.5597916784608518
448,11,1590,0.5594524111276461
449,9,9212,0.5588101827042785
450,12,5085,0.5584157791797503
451,9,8015,0.5577368326777145
452,12,8268,0.5571274689832576
453,12,6733,0.5566080047162554
454,10,54,0.5563874624776489
455,7,2075,0.5561516818430767
456,11,3640,0.5548433534910561
457,14,7897,0.5547224344598567
458,11,6674,0.554640301580245
459,11,2368,0.554177152708973
460,11,8363,0.5535353863877982
461,8,7282,0.5533299496258669
462,9,322,0.5531223329114024
463,9,6974,0.5530577476274894
464,4,1558,0.5527440699079947
465,10,7714,0.5523366987517431
466,11,2059,0.5521460939704048
467,6,5249,0.5518872462765497
468,12,1864,0.5518706211458188
469,12,3872,0.5514573733243362
470,14,6694,0.551178067712323
471,12,8282,0.5510822540880622
472,11,5993,0.550999169863386
473,9,1726,0.550669000713164
474,7,546,0.5504171331817858
475,13,6368,0.5491639631086356
476,11,824,0.5490924049796897
477,12,5974,0.5490375397147629
478,9,7360,0.5486480500914884
479,14,6921,0.5485221827185182
480,5,1966,0.548443200272851
481,20,6046,0.5478535471554171
482,20,6850,0.5478264573684201
483,7,4504,0.5474478613459769
484,14,4655,0.5474398607371839
485,9,3798,0.5472517410274447
486,7,4776,0.5470189782580687
487,14,6191,0.5463631520099531
488,14,5849,0.5456002125716757
489,7,232,0.5449784261827142
490,9,7626,0.5448825437758814
491,4,2043,0.5448641148005303
492,11,9098,0.5446820782901325
493,10,5486,0.5446126250300859
494,10,6762,0.5443010686405868
495,9,3712,0.543887146100509
496,9,5726,0.5438678181703369
497,11,7938,0.5436508769245134
498,13,7768,0.5435063618198753
499,8,1665,0.5424027047221999
500,8,974,0.5423732126860684
501,10,3571,0.5421609241738374
502,15,7561,0.5419623799805736
503,14,9182,0.5418705428888324
504,10,1745,0.5417747571576847
505,12,5504,0.5416177170101097
506,6,482,0.5412188113053538
507,9,2649,0.5410289674602928
508,9,8320,0.5409112200201329
509,9,2825,0.540891255177065
510,12,6004,0.540760027269178
511,8,3192,0.5407405512644473
512,11,4784,0.5406990607506158
513,7,824,0.5406089276972054
514,7,5082,0.5405150679793639
515,11,8367,0.5404702410161373
516,12,2484,0.5404400525391095
517,12,1208,0.5403322989379141
518,7,8085,0.5403025060968584
519,15,9013,0.540114460018293
520,8,7409,0.5398368439959386
521,12,9128,0.5397855036862166
522,14,8394,0.539683708296647
523,7,1380,0.5394569574543209
524,12,3318,0.5391271085392951
525,7,5792,0.5386980360219495
526,7,3684,0.5382753497812888
527,10,2183,0.5379751248530008
528,12,9193,0.5379109161007576
529,7,615,0.5377755666367862
530,6,7966,0.5371125854862787
531,10,2841,0.5370793618675381
532,6,246,0.5366928894491987
533,13,336,0.5366320000537234
534,10,5030,0.5366137015178166
535,11,2334,0.536113307857104
536,13,5344,0.5359210758323502
537,9,2948,0.5358794368957621
538,6,1584,0.5356004055498808
539,9,2609,0.5355727965728072
540,6,2574,0.5349676385185057
541,5,2612,0.5347026530475381
542,8,2344,0.5332481426763775
543,6,478,0.5324200005401165
544,7,6004,0.5324089603675981
545,7,4570,0.5323716945604261
546,9,7852,0.5320767598158694
547,12,6783,0.532015917245038
548,9,7660,0.5318511518848117
549,12,7365,0.5310016008645937
550,10,1441,0.530861495365897
551,7,161,0.5307553517569376
552,8,588,0.5304920359475629
553,7,1404,0.5299946391480149
554,14,8461,0.5298048706482604
555,11,8243,0.5289565724036871
556,14,1976,0.5287801318443095
557,11,6889,0.5287062458110752
558,12,1272,0.528667146711663
559,11,4023,0.5285448636628477
560,10,5442,0.5282468296896126
561,12,7404,0.5279164781920496
562,11,2840,0.5275959101499619
563,7,8472,0.5274765333540546
564,11,8245,0.5265340938972565
565,6,5794,0.5260141638534575
